05/21/19 13:47:46:377 | [DEBUG] |  |  |  | AGSService |  |  | 98296 | Trying to acquire the semaphore
05/21/19 13:47:46:377 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Semaphore acquired
05/21/19 13:47:46:378 | [INFO] |  |  |  | AdobeGCHostfileValidation |  |  | 98296 | Hostfile opened successfully
05/21/19 13:47:46:378 | [DEBUG] |  |  |  | AdobeGCHostfileValidation |  |  | 98296 | Checking if gocart server url is blocked in hostfile
05/21/19 13:47:46:378 | [INFO] |  |  |  | SLCoreService |  |  | 98296 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
05/21/19 13:47:46:378 | [ERROR] |  |  |  | SLCoreService |  |  | 98296 | user based licensing: 0
05/21/19 13:47:46:378 | [INFO] |  |  |  | SLCoreService |  |  | 98296 | Service construction took 0.1 ms and succeed.
05/21/19 13:47:46:385 | [INFO] |  |  |  | SLCoreService |  |  | 98296 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
05/21/19 13:47:46:385 | [INFO] |  |  |  | SLCoreService |  |  | 98296 | Service destruction took 0.0 ms and succeed.
05/21/19 13:47:46:385 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 98296 | Fetching server URL from dispatch table
05/21/19 13:47:46:388 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | __OOBELIB_LOG_FILE__
05/21/19 13:47:46:388 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | (re)load Local Dispatch Table status-[0].
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Scope : [2]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Setting scope to GM
05/21/19 13:47:46:407 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 98296 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | EndPoint requested: [PostRulesData]
